24	0.999917	0.998950	0.999213	1.000603	0.999786	1.000564
24	0.692225	0.531242	1.108975	0.284623	0.242003	0.035596
25	0.999944	0.999077	0.999317	1.000551	0.999901	1.000526
25	0.668090	0.452702	1.005387	0.210821	0.197948	0.105070
26	1.000077	0.999033	0.999194	1.000643	0.999825	1.000554
26	0.604581	0.448368	1.123731	0.231592	0.203236	0.070868
27	1.000174	0.999056	0.999214	1.000641	0.999702	1.000526
27	0.479304	0.371053	1.083666	0.259797	0.341981	0.124599
28	1.000154	0.999002	0.999203	1.000583	0.999794	1.000519
28	0.633429	0.459191	1.081419	0.336506	0.249385	0.085688
29	1.000211	0.999022	0.999181	1.000688	0.999756	1.000525
29	0.641181	0.477028	1.131613	0.251124	0.262998	0.132674
30	1.000279	0.999053	0.999173	1.000695	0.999802	1.000538
30	0.452032	0.362068	1.197138	0.306910	0.252867	0.104163
31	0.999750	0.999196	0.999214	1.000757	0.999756	1.000248
31	0.593415	0.234754	1.001976	-0.119755	0.244205	0.157061
32	1.000183	0.999028	0.999214	1.000701	0.999843	1.000506
32	0.583672	0.466330	1.056851	0.273592	0.154630	0.122658
33	1.000203	0.999066	0.999260	1.000721	0.999905	1.000533
33	0.626922	0.465587	1.041345	0.237204	0.147334	0.144624
34	1.000304	0.999084	0.999238	1.000808	0.999790	1.000594
34	0.455086	0.367022	1.087047	0.166657	0.355372	0.092655
35	1.000015	0.999073	0.999200	1.000731	0.999875	1.000546
35	0.652782	0.465297	1.141781	0.296809	0.260668	0.211039
36	0.999883	0.999083	0.999277	1.000779	0.999870	1.000619
36	0.728117	0.483908	1.092634	0.268479	0.241772	0.174397
37	0.999964	0.999123	0.999254	1.000852	0.999792	1.000684
37	0.461874	0.387382	1.024312	0.167412	0.299718	0.077698
38	0.999797	0.998916	0.998806	1.000621	0.999498	1.000412
38	0.305681	0.501192	1.539824	0.068485	0.562117	0.070993
43	1.000448	0.999635	0.998812	1.000409	0.999213	1.000068
43	-0.119362	0.643652	1.180871	0.147805	0.301999	0.240065
45	1.000464	0.999638	0.998900	1.000407	0.999252	1.000089
45	-0.107203	0.625626	1.083549	0.179798	0.234953	0.179099
46	1.000349	0.999639	0.998755	1.000347	0.999154	1.000002
46	-0.105814	0.666374	1.232513	0.165245	0.288939	0.250152
47	1.000135	0.999680	0.998958	1.000438	0.999275	1.000189
47	-0.116734	0.649031	1.073299	0.192850	0.304207	0.125080
48	0.999919	0.999640	0.998735	1.000367	0.999183	1.000062
48	-0.123437	0.660932	1.230870	0.156772	0.226503	0.140861
49	0.999321	0.999487	0.998713	1.000329	0.999129	1.000001
49	-0.168170	0.642624	1.154076	0.138201	0.283304	0.131095
50	0.999420	0.999440	0.998626	1.000191	0.999011	0.999890
50	-0.063219	0.669162	1.141968	0.188241	0.312968	0.178048
51	0.999620	0.999529	0.998836	1.000326	0.999210	1.000088
51	-0.189850	0.620912	1.078139	0.149446	0.242371	0.045231
52	0.999077	0.999544	0.998788	1.000385	0.999270	1.000079
52	-0.177132	0.702272	1.344975	0.090027	0.208374	0.175494
53	0.998723	0.999552	0.998717	1.000295	0.999051	0.999954
53	-0.118910	0.674131	1.158205	0.153358	0.371574	0.242174
54	0.998201	0.999617	0.998903	1.000408	0.999217	1.000244
54	-0.105467	0.678106	1.144561	0.074243	0.290828	0.080741
55	0.997921	0.999662	0.998934	1.000487	0.999239	1.000278
55	-0.172088	0.671876	1.082833	0.065368	0.359717	0.125504
56	0.997641	0.999691	0.998815	1.000361	0.999143	1.000136
56	-0.120504	0.639573	1.151631	0.157274	0.379182	0.233770
68	0.999336	1.000190	1.000051	1.000457	1.000013	1.000515
68	0.212734	0.317490	0.135800	0.075785	-0.260545	-0.153069
69	0.999994	1.000205	0.999932	1.000347	0.999999	1.000474
69	0.189221	0.312366	0.118505	0.128759	-0.382627	-0.200432
70	0.999933	1.000081	0.999935	1.000287	0.999939	1.000324
70	0.213241	0.278503	0.068882	0.104514	-0.359014	-0.093872
71	0.999672	0.999959	0.999759	1.000118	0.999797	1.000259
71	0.206226	0.290809	0.107980	0.172088	-0.305614	-0.190179
72	0.999491	0.999926	0.999758	1.000176	0.999691	1.000187
72	0.146804	0.304923	0.051583	0.042699	-0.369717	-0.190781
76	0.999421	0.999910	0.999839	1.000222	0.999747	1.000145
76	0.166992	0.288905	0.064227	0.123369	-0.285613	-0.111808
